4.393590s 93.59ms | mys [50 75]ms | c 31 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0302000028 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.442932s 42.93ms | mys [50 75]ms | c 31 | 000.000ms | 01pkts | hdr [26 26.02 51]ms 1/4 | Rq 00ms | s# 0102000030 | [#01]->[#02] | T 4 | 0054B | D 17ms | Bw 0.0Bps | pms# 0
4.483382s 83.38ms | mys [51 76]ms | c 32 | 000.000ms | 01pkts | hdr [99 99.01 24]ms 4/4 | Rq 00ms | s# 0402000028 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.493841s 93.84ms | mys [51 76]ms | c 32 | 000.000ms | 01pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0302000029 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.542930s 42.93ms | mys [51 76]ms | c 32 | 000.000ms | 01pkts | hdr [26 26.02 51]ms 1/4 | Rq 00ms | s# 0102000031 | [#01]->[#02] | T 4 | 0054B | D 16ms | Bw 0.0Bps | pms# 0
4.584375s 84.38ms | mys [52 77]ms | c 33 | 000.000ms | 01pkts | hdr [00 0.01 25]ms 4/4 | Rq 00ms | s# 0402000029 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.593859s 93.86ms | mys [52 77]ms | c 33 | 000.000ms | 01pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0302000030 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.642927s 42.93ms | mys [52 77]ms | c 33 | 000.000ms | 01pkts | hdr [26 26.02 51]ms 1/4 | Rq 00ms | s# 0102000032 | [#01]->[#02] | T 4 | 0054B | D 15ms | Bw 0.0Bps | pms# 0
4.685472s 85.47ms | mys [53 78]ms | c 34 | 000.000ms | 01pkts | hdr [01 1.00 26]ms 4/4 | Rq 00ms | s# 0402000030 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.693865s 93.87ms | mys [53 78]ms | c 34 | 000.000ms | 01pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0302000031 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.742932s 42.93ms | mys [53 78]ms | c 34 | 000.000ms | 01pkts | hdr [26 26.02 51]ms 1/4 | Rq 00ms | s# 0102000033 | [#01]->[#02] | T 4 | 0054B | D 14ms | Bw 0.0Bps | pms# 0
4.786618s 86.62ms | mys [54 79]ms | c 35 | 000.000ms | 01pkts | hdr [02 2.00 27]ms 4/4 | Rq 00ms | s# 0402000031 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.793671s 93.67ms | mys [54 79]ms | c 35 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0302000032 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
4.842926s 42.93ms | mys [54 79]ms | c 35 | 000.000ms | 01pkts | hdr [26 26.01 51]ms 1/4 | Rq 00ms | s# 0102000034 | [#01]->[#02] | T 4 | 0054B | D 13ms | Bw 0.0Bps | pms# 0
4.887646s 87.65ms | mys [55 80]ms | c 36 | 000.000ms | 01pkts | hdr [03 3.00 28]ms 4/4 | Rq 00ms | s# 0402000032 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
