eventid init_us end_us type
<id263> #2->#1. Wnd[7080888-7081021]us. Type 80211
<id263> #2->#1. Wnd[7080888-7081021]us. Type 80211
<id264> #2->#3. Wnd[7081891-7082024]us. Type 80211
<id264> #2->#3. Wnd[7081891-7082024]us. Type 80211
<id253> #3->#3. Wnd[6900000-7125000]us. Type ESENSOR
<id256> #3->#3. Wnd[6900000-7125100]us. Type ISENSOR
<id265> #1->#2. Wnd[7176141-7176274]us. Type 80211
<id265> #1->#2. Wnd[7176141-7176274]us. Type 80211
<id266> #1->#3. Wnd[7177144-7177277]us. Type 80211
<id266> #1->#3. Wnd[7177144-7177277]us. Type 80211
<id273> #2->#1. Wnd[7200891-7201024]us. Type 80211
<id273> #2->#1. Wnd[7200891-7201024]us. Type 80211
<id274> #2->#3. Wnd[7201900-7202033]us. Type 80211
<id274> #2->#3. Wnd[7201900-7202033]us. Type 80211
<id267> #1->#1. Wnd[7200000-7275000]us. Type ESENSOR
<id270> #1->#1. Wnd[7200000-7275100]us. Type ISENSOR
<id275> #1->#2. Wnd[7296140-7296273]us. Type 80211
<id275> #1->#2. Wnd[7296140-7296273]us. Type 80211
<id276> #1->#3. Wnd[7297140-7297273]us. Type 80211
<id276> #1->#3. Wnd[7297140-7297273]us. Type 80211
<id277> #2->#1. Wnd[7320893-7321026]us. Type 80211
<id277> #2->#1. Wnd[7320893-7321026]us. Type 80211
<id278> #2->#3. Wnd[7322031-7322164]us. Type 80211
<id278> #2->#3. Wnd[7322031-7322164]us. Type 80211
<id268> #2->#2. Wnd[7200000-7350000]us. Type ESENSOR
<id271> #2->#2. Wnd[7200000-7350100]us. Type ISENSOR
<id279> #1->#2. Wnd[7416141-7416274]us. Type 80211
<id279> #1->#2. Wnd[7416141-7416274]us. Type 80211
<id280> #1->#3. Wnd[7417140-7417273]us. Type 80211
<id280> #1->#3. Wnd[7417140-7417273]us. Type 80211
<id269> #3->#3. Wnd[7200000-7425000]us. Type ESENSOR
<id272> #3->#3. Wnd[7200000-7425100]us. Type ISENSOR
<id281> #2->#1. Wnd[7440887-7441020]us. Type 80211
<id281> #2->#1. Wnd[7440887-7441020]us. Type 80211
<id282> #2->#3. Wnd[7441893-7442026]us. Type 80211
<id282> #2->#3. Wnd[7441893-7442026]us. Type 80211
<id289> #1->#2. Wnd[7536133-7536266]us. Type 80211
<id289> #1->#2. Wnd[7536133-7536266]us. Type 80211
<id290> #1->#3. Wnd[7537139-7537272]us. Type 80211
<id290> #1->#3. Wnd[7537139-7537272]us. Type 80211
<id291> #2->#1. Wnd[7560889-7561022]us. Type 80211
<id291> #2->#1. Wnd[7560889-7561022]us. Type 80211
<id292> #2->#3. Wnd[7561889-7562022]us. Type 80211
<id292> #2->#3. Wnd[7561889-7562022]us. Type 80211
<id283> #1->#1. Wnd[7500000-7575000]us. Type ESENSOR
<id286> #1->#1. Wnd[7500000-7575100]us. Type ISENSOR
<id284> #2->#2. Wnd[7500000-7650000]us. Type ESENSOR
<id287> #2->#2. Wnd[7500000-7650100]us. Type ISENSOR
<id293> #2->#1. Wnd[7680888-7681021]us. Type 80211
<id293> #2->#1. Wnd[7680888-7681021]us. Type 80211
